year,annual_return_pct
1960,0.47
1961,26.89
1962,-8.73
1963,22.80
1964,16.48
1965,12.45
1966,-10.06
1967,23.98
1968,11.06
1969,-8.50
1970,4.01
1971,14.31
1972,18.98
1973,-14.66
1974,-26.47
1975,37.20
1976,23.84
1977,-7.18
1978,6.56
1979,18.44
1980,32.42
1981,-4.91
1982,21.41
1983,22.51
1984,6.27
1985,32.16
1986,18.47
1987,5.23
1988,16.81
1989,31.49
1990,-3.10
1991,30.47
1992,7.62
1993,10.08
1994,1.32
1995,37.58
1996,22.96
1997,33.36
1998,28.58
1999,21.04
2000,-9.10
2001,-11.89
2002,-22.10
2003,28.68
2004,10.88
2005,4.91
2006,15.79
2007,5.49
2008,-37.00
2009,26.46
2010,15.06
2011,2.11
2012,16.00
2013,32.39
2014,13.69
2015,1.38
2016,11.96
2017,21.83
2018,-4.38
2019,31.49
2020,18.40
2021,28.71
2022,-18.11
2023,26.29
2024,23.31
